U_OBJECT_NAME,EXEC_NAME,U_DONE_YN,U_CNT,SEPARATOR,MODIFY_DT,EXEC_YN,CTLFILE_NAME,FTP_INI_FILE,OBJECT_TYPE,UPLOAD_PATH,FILE_ENCODE,MODIFY_BY,FILE_NAME,CHARDEL,DELIMITER,CREATE_DT,OBJECT_NAME,CREATE_BY,DOWNLOAD_PATH,GROUP_CODE,IS_CONTROL,FILENAME_POSTFIX
,batch.job.defaultApSpJob,Y,1,,2023/5/1,N,,,SP,,,SYSBATCH,,,,2022/4/25,W_P_PBS_RPT_WOB_CHK_LIST,SYSBATCH,,MONTHLY,,
B_P_WOB_TL_T35_CAL,batch.job.defaultApSpJob,N,1,,2023/5/1,N,,,SP,,,SYSBATCH,,,,2022/1/19,W_P_B2W_PBS_CUS_PBSQLF_LOG,SYSBATCH,,MONTHLY,,
B_P_WOB_TL_T38_CAL,batch.job.defaultApSpJob,N,2,,2023/5/1,N,,,SP,,,SYSBATCH,,,,2022/1/19,W_P_B2W_PBS_WOB_ASSETBELOW_LOGS,SYSBATCH,,MONTHLY,,
B_P_WOB_TL_T35_CAL,batch.job.defaultApSpJob,N,2,,2023/5/1,N,,,SP,,,SYSBATCH,,,,2022/1/19,W_P_B2W_PBS_WOB_ASSETBELOW_LOGS,SYSBATCH,,MONTHLY,,
B_P_WOB_TL_T36_CAL,batch.job.defaultApSpJob,N,1,,2023/5/1,N,,,SP,,,SYSBATCH,,,,2022/3/24,W_P_B2W_PBS_WOB_RISKCON_LOGS,SYSBATCH,,MONTHLY,,
B_P_WOB_TL_T36_CAL,batch.job.defaultApSpJob,N,1,,2023/5/1,N,,,SP,,,SYSBATCH,,,,2022/3/24,W_P_B2W_PBS_CUS_RISKCON_DETAILS,SYSBATCH,,MONTHLY,,
,batch.job.defaultApSpJob,Y,1,,2023/5/15,N,,,SP,,,SYSBATCH,,,,2022/3/24,W_P_PBS_RPT_PBCUS_VALID_LIST,SYSBATCH,,DAILY,,
B_P_PBS_CUS_APPLY_TYPE_LOG,batch.job.defaultApSpJob,N,1,,2023/5/13,Y,,,SP,,,SYSBATCH,,,,2022/9/21,W_P_B2W_PBS_CUS_APPLY_TYPE_LOG,SYSBATCH,,PBS_IMP_DAILY,,
B_P_PBS_CUS_PBSQLF_LOG,batch.job.defaultApSpJob,N,1,,2023/5/13,Y,,,SP,,,SYSBATCH,,,,2022/9/21,W_P_B2W_PBS_CUS_PBSQLF_LOG,SYSBATCH,,PBS_IMP_DAILY,,
B_P_PBS_CUS_RM_INFO,batch.job.defaultApSpJob,N,1,,2023/5/13,Y,,,SP,,,SYSBATCH,,,,2022/9/21,W_P_B2W_PBS_CUS_RM_INFO,SYSBATCH,,PBS_IMP_DAILY,,
B_P_ITF_PBS_CUS_APPLY_TYPE_LOG,batch.job.defaultSpJob,N,1,,2023/5/13,Y,,,SP,,,SYSBATCH,,,,2022/9/21,B_P_PBS_CUS_APPLY_TYPE_LOG,SYSBATCH,,PBS_IMP_DAILY,,
B_P_ITF_PBS_CUS_PBSQLF_LOG,batch.job.defaultSpJob,N,1,,2023/5/13,Y,,,SP,,,SYSBATCH,,,,2022/9/21,B_P_PBS_CUS_PBSQLF_LOG,SYSBATCH,,PBS_IMP_DAILY,,
B_P_ITF_PBS_CUS_RM_INFO,batch.job.defaultSpJob,N,1,,2023/5/13,Y,,,SP,,,SYSBATCH,,,,2022/9/21,B_P_PBS_CUS_RM_INFO,SYSBATCH,,PBS_IMP_DAILY,,
IMP_PBS_CUS_APPLY_TYPE_LOG,batch.job.defaultSpJob,N,1,,2023/5/13,Y,,,SP,,,SYSBATCH,,,,2022/9/21,B_P_ITF_PBS_CUS_APPLY_TYPE_LOG,SYSBATCH,,PBS_IMP_DAILY,,
IMP_PBS_CUS_PBSQLF_LOG,batch.job.defaultSpJob,N,1,,2023/5/13,Y,,,SP,,,SYSBATCH,,,,2022/9/21,B_P_ITF_PBS_CUS_PBSQLF_LOG,SYSBATCH,,PBS_IMP_DAILY,,
IMP_PBS_CUS_RM_INFO,batch.job.defaultSpJob,N,1,,2023/5/13,Y,,,SP,,,SYSBATCH,,,,2022/9/21,B_P_ITF_PBS_CUS_RM_INFO,SYSBATCH,,PBS_IMP_DAILY,,
,batch.job.readPbsCusApplyTypeLogJob,Y,1,,2023/5/13,Y,,,SH,,,SYSBATCH,,,,2022/9/21,IMP_PBS_CUS_APPLY_TYPE_LOG,SYSBATCH,,PBS_IMP_DAILY,,
,batch.job.readPbsCusPbsqlfLogJob,Y,1,,2023/5/13,Y,,,SH,,,SYSBATCH,,,,2022/9/21,IMP_PBS_CUS_PBSQLF_LOG,SYSBATCH,,PBS_IMP_DAILY,,
,batch.job.readPbsCusRmInfoJob,Y,1,,2023/5/13,Y,,,SH,,,SYSBATCH,,,,2022/9/21,IMP_PBS_CUS_RM_INFO,SYSBATCH,,PBS_IMP_DAILY,,
W_P_B2W_PBS_CUS_RM_INFO,batch.job.defaultApSpJob,N,1,,2023/5/13,Y,,,SP,,,SYSBATCH,,,,2023/3/28,W_P_PBS_CUS_RM_INFO,SYSBATCH,,PBS_IMP_DAILY,,
